Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Orange,,M,,,16512482-orange-m,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Orange,,L,,,16512482-orange-l,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Green,,XL,,,16512482-green-xl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Green,,XXL,,,16512482-green-xxl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black,,XL,,,16512482-black-xl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black,,XXL,,,16512482-black-xxl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Orange,,XL,,,16512482-orange-xl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Orange,,XXL,,,16512482-orange-xxl,0.0,shopify,deny,oberlo,9.86,9.86,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476644.jpg?v=1584384482,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Green,,XXXL,,,16512482-green-xxxl,0.0,shopify,deny,oberlo,10.60,10.60,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476642.jpg?v=1584384489,kg,,,,,
aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme,,,,,,,,,Black,,XXXL,,,16512482-black-xxxl,0.0,shopify,deny,oberlo,10.60,10.60,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476643.jpg?v=1584384484,kg,,,,,
