('16512482-pink-xl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476645.jpg?v=1584384483', 'Pink', 'XL', 986),
('16512482-pink-xxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476645.jpg?v=1584384483', 'Pink', 'XXL', 986),
('16512482-pink-xxxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476645.jpg?v=1584384483', 'Pink', 'XXXL', 1060),
('16512482-blue-s', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488', 'Blue', 'S', 986),
('16512482-blue-m', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488', 'Blue', 'M', 986),
('16512482-blue-l', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488', 'Blue', 'L', 986),
('16512482-blue-xl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488', 'Blue', 'XL', 986),
('16512482-blue-xxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488', 'Blue', 'XXL', 986),
('16512482-blue-xxxl', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476646.jpg?v=1584384488', 'Blue', 'XXXL', 1060),
('16512482-red-s', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485', 'Red', 'S', 986),
('16512482-red-m', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485', 'Red', 'M', 986),
('16512482-red-l', 'aolikes-1-pieces-2019-genou-soutien-professionnel-de-protection-sport-genouillere-respirant-pansement-genouillere-basket-ball-tennis-cyclisme', 'https://cdn.shopify.com/s/files/1/0252/8251/0902/products/product-image-1310476647.jpg?v=1584384485', 'Red', 'L', 986),
